geography_name,occupation_per_state,state_total_indigenous,state_total_black,state_total_pacific,state_total_white,state_total_asian,state_total_hispanic,state_total_other,state_total_male,state_total_female,state,state_population,state_area_sq_miles
Alabama,36,168.0,55123.0,0.0,137591.0,2784.0,2726.0,2346.0,37143.0,166539.0,Alabama,4903185,52420.0
Alaska,32,2511.0,825.0,190.0,24619.0,2115.0,1771.0,788.0,8795.0,26254.0,Alaska,731545,665384.0
Arizona,37,9258.0,19154.0,200.0,170919.0,17458.0,68355.0,5776.0,72654.0,220344.0,Arizona,7278717,113990.0
Arkansas,36,375.0,22797.0,0.0,100165.0,1738.0,3410.0,2245.0,24368.0,108725.0,Arkansas,3017804,53179.0
California,37,4152.0,136257.0,9411.0,631315.0,418165.0,489931.0,52819.0,440693.0,1302908.0,California,39512223,163695.0
Colorado,36,1098.0,10372.0,97.0,182866.0,9117.0,38637.0,4572.0,55033.0,194194.0,Colorado,5758736,104094.0
Connecticut,37,202.0,34622.0,0.0,119800.0,9362.0,25717.0,3277.0,38216.0,156991.0,Connecticut,3565278,5543.0
Delaware,35,89.0,12322.0,0.0,29996.0,1388.0,1120.0,305.0,8832.0,38457.0,Delaware,973764,2489.0
District of Columbia,31,0.0,26579.0,0.0,14941.0,3541.0,2381.0,509.0,12053.0,37334.0,District of Columbia,705749,68.34
Florida,37,911.0,207422.0,286.0,449757.0,46288.0,193959.0,16582.0,204098.0,712649.0,Florida,21477737,65758.0
Georgia,37,308.0,141686.0,0.0,207213.0,17613.0,15891.0,6327.0,72266.0,318481.0,Georgia,10617423,59425.0
Hawaii,35,22.0,658.0,2429.0,14553.0,25697.0,4406.0,8270.0,14562.0,43579.0,Hawaii,1415872,10932.0
Idaho,35,341.0,0.0,0.0,64491.0,1330.0,5407.0,705.0,16265.0,57955.0,Idaho,1787065,83569.0
Illinois,37,250.0,104308.0,0.0,359065.0,64963.0,57305.0,9477.0,116293.0,480918.0,Illinois,12671821,57914.0
Indiana,37,195.0,33252.0,0.0,243265.0,8079.0,9589.0,3901.0,51107.0,250433.0,Indiana,6732219,36420.0
Iowa,36,260.0,4585.0,136.0,133415.0,3177.0,4391.0,1551.0,24251.0,125376.0,Iowa,3155070,56273.0
Kansas,36,539.0,9574.0,0.0,115837.0,3092.0,8171.0,2536.0,26013.0,116988.0,Kansas,2913314,82278.0
Kentucky,37,0.0,15809.0,0.0,176600.0,3102.0,4160.0,2329.0,38854.0,165167.0,Kentucky,4467673,40408.0
Louisiana,36,362.0,86406.0,0.0,122819.0,4605.0,5001.0,2528.0,41204.0,182412.0,Louisiana,4648794,52378.0
Maine,35,27.0,1492.0,0.0,71349.0,392.0,464.0,773.0,14960.0,61173.0,Maine,1344212,35380.0
Maryland,37,91.0,99965.0,0.0,137702.0,23153.0,13396.0,5301.0,59411.0,221639.0,Maryland,6045680,12406.0
Massachusetts,37,0.0,56160.0,0.0,285035.0,23615.0,42545.0,10060.0,84218.0,335011.0,Massachusetts,6892503,10554.0
Michigan,37,1388.0,73635.0,0.0,360475.0,21460.0,16627.0,8596.0,94708.0,390352.0,Michigan,9986857,96714.0
Minnesota,37,2300.0,30116.0,0.0,259046.0,15229.0,9177.0,6150.0,63939.0,261461.0,Minnesota,5639632,86936.0
Mississippi,37,0.0,47843.0,0.0,76480.0,1374.0,677.0,735.0,21539.0,107024.0,Mississippi,2976149,48432.0
Missouri,37,690.0,43632.0,105.0,240755.0,8688.0,6916.0,3729.0,60038.0,247955.0,Missouri,6137428,69707.0
Montana,34,1585.0,0.0,0.0,44633.0,252.0,1528.0,844.0,10109.0,40163.0,Montana,1068778,147040.0
Nebraska,36,339.0,4992.0,0.0,81609.0,1954.0,4892.0,984.0,17081.0,80173.0,Nebraska,1934408,77348.0
Nevada,37,378.0,8339.0,214.0,51163.0,16569.0,18414.0,2806.0,24501.0,75518.0,Nevada,3080156,110572.0
New Hampshire,36,0.0,689.0,0.0,62845.0,2137.0,1066.0,458.0,12828.0,56502.0,New Hampshire,1359711,9349.0
New Jersey,37,253.0,80267.0,0.0,199136.0,47051.0,56131.0,5683.0,83541.0,306377.0,New Jersey,8882190,8723.0
New Mexico,35,7934.0,1872.0,0.0,38504.0,1700.0,42267.0,1273.0,21859.0,73527.0,New Mexico,2096829,121590.0
New York,37,1188.0,255461.0,255.0,547743.0,131182.0,173581.0,26212.0,240978.0,895768.0,New York,19453561,54555.0
North Carolina,37,5102.0,116525.0,0.0,309828.0,14033.0,16510.0,7926.0,88924.0,382551.0,North Carolina,10488084,53819.0
North Dakota,35,737.0,1421.0,0.0,40155.0,882.0,289.0,340.0,6793.0,38122.0,North Dakota,762062,70698.0
Ohio,37,798.0,89021.0,0.0,481642.0,16465.0,14847.0,11934.0,116068.0,500734.0,Ohio,11689100,44826.0
Oklahoma,36,11837.0,15033.0,385.0,112705.0,5104.0,7537.0,9523.0,33540.0,131513.0,Oklahoma,3956971,69899.0
Oregon,36,895.0,4857.0,824.0,169239.0,10702.0,17904.0,6197.0,50132.0,163477.0,Oregon,4217737,98379.0
Pennsylvania,37,369.0,101669.0,0.0,529483.0,30258.0,33132.0,11482.0,142374.0,567408.0,Pennsylvania,12801989,46054.0
Rhode Island,34,0.0,5358.0,0.0,42238.0,1380.0,6471.0,1446.0,11626.0,46836.0,Rhode Island,1059361,1545.0
South Carolina,37,272.0,59442.0,0.0,136799.0,3885.0,4605.0,2300.0,36482.0,172935.0,South Carolina,5148714,32020.0
South Dakota,33,958.0,735.0,0.0,40304.0,423.0,337.0,84.0,6844.0,37059.0,South Dakota,884659,77116.0
Tennessee,36,0.0,52971.0,0.0,240497.0,6945.0,5954.0,4409.0,62967.0,250813.0,Tennessee,6829174,42144.0
Texas,37,2297.0,206713.0,252.0,479677.0,94092.0,352321.0,17056.0,248086.0,906018.0,Texas,28995881,268596.0
Utah,37,659.0,734.0,545.0,96753.0,2690.0,10079.0,1577.0,31021.0,84469.0,Utah,3205958,84897.0
Vermont,32,0.0,461.0,0.0,33895.0,243.0,245.0,83.0,7609.0,28542.0,Vermont,623989,9616.0
Virginia,37,315.0,92900.0,0.0,217391.0,24164.0,19017.0,7775.0,71445.0,291867.0,Virginia,8535519,42775.0
Washington,37,1580.0,21336.0,1353.0,234792.0,39745.0,27163.0,11634.0,77456.0,263275.0,Washington,7614893,71298.0
West Virginia,35,77.0,3080.0,0.0,91586.0,1308.0,768.0,684.0,19567.0,79513.0,West Virginia,1792147,24230.0
Wisconsin,37,1017.0,22623.0,0.0,248995.0,8024.0,11128.0,4167.0,52796.0,247258.0,Wisconsin,5822434,65496.0
Wyoming,33,71.0,0.0,0.0,22426.0,194.0,1424.0,205.0,5066.0,20025.0,Wyoming,578759,97813.0
